Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2852802,MCV2,COUNTRY,NGA,AFR,Africa,YEAR,2014,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2014,2014-01-01,2014-12-31
1385780,MCV2,WORLDBANKINCOMEGROUP,WB_LMI,,,YEAR,2006,,,,,,,,,7,7,,,,2025-07-14T16:23:12Z,2006,2006-01-01,2006-12-31
8658442,MCV2,COUNTRY,MLT,EUR,Europe,YEAR,2010,,,,,,,,,85,85,,,,2025-07-14T16:23:12Z,2010,2010-01-01,2010-12-31
5517652,MCV2,COUNTRY,DOM,AMR,Americas,YEAR,2003,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2003,2003-01-01,2003-12-31
1543889,MCV2,COUNTRY,CRI,AMR,Americas,YEAR,2002,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2002,2002-01-01,2002-12-31
8810634,MCV2,COUNTRY,GBR,EUR,Europe,YEAR,2006,,,,,,,,,75,75,,,,2025-07-14T16:23:12Z,2006,2006-01-01,2006-12-31
87763,MCV2,COUNTRY,GRD,AMR,Americas,YEAR,2004,,,,,,,,,61,61,,,,2025-07-14T16:23:12Z,2004,2004-01-01,2004-12-31
7288858,MCV2,COUNTRY,VCT,AMR,Americas,YEAR,2009,,,,,,,,,94,94,,,,2025-07-14T16:23:12Z,2009,2009-01-01,2009-12-31
271699,MCV2,COUNTRY,MUS,AFR,Africa,YEAR,2002,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2002,2002-01-01,2002-12-31
5056558,MCV2,COUNTRY,LUX,EUR,Europe,YEAR,2009,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2009,2009-01-01,2009-12-31
3681153,MCV2,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2003,,,,,,,,,96,96,,,,2025-07-14T16:23:12Z,2003,2003-01-01,2003-12-31
6122410,MCV2,COUNTRY,GUY,AMR,Americas,YEAR,2017,,,,,,,,,93,93,,,,2025-07-14T16:23:12Z,2017,2017-01-01,2017-12-31
